Setup sorting test array at 0x300: [5 3 8 3 1 8 5 2 1 6 3 8 5 2 1 6]
Loaded ROM: 3584 bytes
First instruction: 0x1471
Cycle 312: Executing 0x0000 at PC=0x1F0
Cycle 313: Executing 0x0000 at PC=0x1F2
Cycle 314: Executing 0x0000 at PC=0x1F4
Cycle 315: Executing 0x0000 at PC=0x1F6
Cycle 316: Executing 0x0000 at PC=0x1F8
Cycle 317: Executing 0x0000 at PC=0x1FA
Cycle 318: Executing 0x0000 at PC=0x1FC
Cycle 319: Executing 0x0000 at PC=0x1FE
Cycle 326: Executing 0x0000 at PC=0x1D2
Cycle 327: Executing 0x0000 at PC=0x1D4
Cycle 328: Executing 0x0000 at PC=0x1D6
Cycle 329: Executing 0x0000 at PC=0x1D8
Cycle 330: Executing 0x0000 at PC=0x1DA
Cycle 331: Executing 0x0000 at PC=0x1DC
Cycle 332: Executing 0x0000 at PC=0x1DE
Cycle 333: Executing 0x0000 at PC=0x1E0
Cycle 334: Executing 0x0000 at PC=0x1E2
Cycle 335: Executing 0x0000 at PC=0x1E4
Cycle 336: Executing 0x0000 at PC=0x1E6
Cycle 337: Executing 0x0000 at PC=0x1E8
Cycle 338: Executing 0x0000 at PC=0x1EA
Cycle 339: Executing 0x0000 at PC=0x1EC
Cycle 340: Executing 0x0000 at PC=0x1EE
Cycle 341: Executing 0x0000 at PC=0x1F0
Cycle 342: Executing 0x0000 at PC=0x1F2
Cycle 343: Executing 0x0000 at PC=0x1F4
Cycle 344: Executing 0x0000 at PC=0x1F6
Cycle 345: Executing 0x0000 at PC=0x1F8
Cycle 346: Executing 0x0000 at PC=0x1FA
Cycle 347: Executing 0x0000 at PC=0x1FC
Cycle 348: Executing 0x0000 at PC=0x1FE
Cycle 355: Executing 0x0000 at PC=0x1D2
Cycle 356: Executing 0x0000 at PC=0x1D4
Cycle 357: Executing 0x0000 at PC=0x1D6
Cycle 358: Executing 0x0000 at PC=0x1D8
Cycle 359: Executing 0x0000 at PC=0x1DA
Cycle 360: Executing 0x0000 at PC=0x1DC
Cycle 361: Executing 0x0000 at PC=0x1DE
Cycle 362: Executing 0x0000 at PC=0x1E0
Cycle 363: Executing 0x0000 at PC=0x1E2
Cycle 364: Executing 0x0000 at PC=0x1E4
Cycle 365: Executing 0x0000 at PC=0x1E6
Cycle 366: Executing 0x0000 at PC=0x1E8
Cycle 367: Executing 0x0000 at PC=0x1EA
Cycle 368: Executing 0x0000 at PC=0x1EC
Cycle 369: Executing 0x0000 at PC=0x1EE
Cycle 370: Executing 0x0000 at PC=0x1F0
Cycle 371: Executing 0x0000 at PC=0x1F2
Cycle 372: Executing 0x0000 at PC=0x1F4
Cycle 373: Executing 0x0000 at PC=0x1F6
Cycle 374: Executing 0x0000 at PC=0x1F8
Cycle 375: Executing 0x0000 at PC=0x1FA
Cycle 376: Executing 0x0000 at PC=0x1FC
Cycle 377: Executing 0x0000 at PC=0x1FE
Cycle 384: Executing 0x0000 at PC=0x1D2
Cycle 385: Executing 0x0000 at PC=0x1D4
Cycle 386: Executing 0x0000 at PC=0x1D6
Cycle 387: Executing 0x0000 at PC=0x1D8
Cycle 388: Executing 0x0000 at PC=0x1DA
Cycle 389: Executing 0x0000 at PC=0x1DC
Cycle 390: Executing 0x0000 at PC=0x1DE
Cycle 391: Executing 0x0000 at PC=0x1E0
Cycle 392: Executing 0x0000 at PC=0x1E2
Cycle 393: Executing 0x0000 at PC=0x1E4
Cycle 394: Executing 0x0000 at PC=0x1E6
Cycle 395: Executing 0x0000 at PC=0x1E8
Cycle 396: Executing 0x0000 at PC=0x1EA
Cycle 397: Executing 0x0000 at PC=0x1EC
Cycle 398: Executing 0x0000 at PC=0x1EE
Cycle 399: Executing 0x0000 at PC=0x1F0
Cycle 400: Executing 0x0000 at PC=0x1F2
Cycle 401: Executing 0x0000 at PC=0x1F4
Cycle 402: Executing 0x0000 at PC=0x1F6
Cycle 403: Executing 0x0000 at PC=0x1F8
Cycle 404: Executing 0x0000 at PC=0x1FA
Cycle 405: Executing 0x0000 at PC=0x1FC
Cycle 406: Executing 0x0000 at PC=0x1FE
Cycle 413: Executing 0x0000 at PC=0x1D2
Cycle 414: Executing 0x0000 at PC=0x1D4
Cycle 415: Executing 0x0000 at PC=0x1D6
Cycle 416: Executing 0x0000 at PC=0x1D8
Cycle 417: Executing 0x0000 at PC=0x1DA
Cycle 418: Executing 0x0000 at PC=0x1DC
Cycle 419: Executing 0x0000 at PC=0x1DE
Cycle 420: Executing 0x0000 at PC=0x1E0
Cycle 421: Executing 0x0000 at PC=0x1E2
Cycle 422: Executing 0x0000 at PC=0x1E4
Cycle 423: Executing 0x0000 at PC=0x1E6
Cycle 424: Executing 0x0000 at PC=0x1E8
Cycle 425: Executing 0x0000 at PC=0x1EA
Cycle 426: Executing 0x0000 at PC=0x1EC
Cycle 427: Executing 0x0000 at PC=0x1EE
Cycle 428: Executing 0x0000 at PC=0x1F0
Cycle 429: Executing 0x0000 at PC=0x1F2
Cycle 430: Executing 0x0000 at PC=0x1F4
Cycle 431: Executing 0x0000 at PC=0x1F6
Cycle 432: Executing 0x0000 at PC=0x1F8
Cycle 433: Executing 0x0000 at PC=0x1FA
Cycle 434: Executing 0x0000 at PC=0x1FC
Cycle 435: Executing 0x0000 at PC=0x1FE
Cycle 442: Executing 0x0000 at PC=0x1D2
Cycle 443: Executing 0x0000 at PC=0x1D4
Cycle 444: Executing 0x0000 at PC=0x1D6
Cycle 445: Executing 0x0000 at PC=0x1D8
Cycle 446: Executing 0x0000 at PC=0x1DA
Cycle 447: Executing 0x0000 at PC=0x1DC
Cycle 448: Executing 0x0000 at PC=0x1DE
Cycle 449: Executing 0x0000 at PC=0x1E0
Cycle 450: Executing 0x0000 at PC=0x1E2
Cycle 451: Executing 0x0000 at PC=0x1E4
Cycle 452: Executing 0x0000 at PC=0x1E6
Cycle 453: Executing 0x0000 at PC=0x1E8
Cycle 454: Executing 0x0000 at PC=0x1EA
Cycle 455: Executing 0x0000 at PC=0x1EC
Cycle 456: Executing 0x0000 at PC=0x1EE
Cycle 457: Executing 0x0000 at PC=0x1F0
Cycle 458: Executing 0x0000 at PC=0x1F2
Cycle 459: Executing 0x0000 at PC=0x1F4
Cycle 460: Executing 0x0000 at PC=0x1F6
Cycle 461: Executing 0x0000 at PC=0x1F8
Cycle 462: Executing 0x0000 at PC=0x1FA
Cycle 463: Executing 0x0000 at PC=0x1FC
Cycle 464: Executing 0x0000 at PC=0x1FE
Cycle 471: Executing 0x0000 at PC=0x1D2
Cycle 472: Executing 0x0000 at PC=0x1D4
Cycle 473: Executing 0x0000 at PC=0x1D6
Cycle 474: Executing 0x0000 at PC=0x1D8
Cycle 475: Executing 0x0000 at PC=0x1DA
Cycle 476: Executing 0x0000 at PC=0x1DC
Cycle 477: Executing 0x0000 at PC=0x1DE
Cycle 478: Executing 0x0000 at PC=0x1E0
Cycle 479: Executing 0x0000 at PC=0x1E2
Cycle 480: Executing 0x0000 at PC=0x1E4
Cycle 481: Executing 0x0000 at PC=0x1E6
Cycle 482: Executing 0x0000 at PC=0x1E8
Cycle 483: Executing 0x0000 at PC=0x1EA
Cycle 484: Executing 0x0000 at PC=0x1EC
Cycle 485: Executing 0x0000 at PC=0x1EE
Cycle 486: Executing 0x0000 at PC=0x1F0
Cycle 487: Executing 0x0000 at PC=0x1F2
Cycle 488: Executing 0x0000 at PC=0x1F4
Cycle 489: Executing 0x0000 at PC=0x1F6
Cycle 490: Executing 0x0000 at PC=0x1F8
Cycle 491: Executing 0x0000 at PC=0x1FA
Cycle 492: Executing 0x0000 at PC=0x1FC
Cycle 493: Executing 0x0000 at PC=0x1FE
Cycle 500: Executing 0x0000 at PC=0x1D2
Cycle 501: Executing 0x0000 at PC=0x1D4
Cycle 502: Executing 0x0000 at PC=0x1D6
Cycle 503: Executing 0x0000 at PC=0x1D8
Cycle 504: Executing 0x0000 at PC=0x1DA
Cycle 505: Executing 0x0000 at PC=0x1DC
Cycle 506: Executing 0x0000 at PC=0x1DE
Cycle 507: Executing 0x0000 at PC=0x1E0
Cycle 508: Executing 0x0000 at PC=0x1E2
Cycle 509: Executing 0x0000 at PC=0x1E4
Cycle 510: Executing 0x0000 at PC=0x1E6
Cycle 511: Executing 0x0000 at PC=0x1E8
Cycle 512: Executing 0x0000 at PC=0x1EA
Cycle 513: Executing 0x0000 at PC=0x1EC
Cycle 514: Executing 0x0000 at PC=0x1EE
Cycle 515: Executing 0x0000 at PC=0x1F0
Cycle 516: Executing 0x0000 at PC=0x1F2
Cycle 517: Executing 0x0000 at PC=0x1F4
Cycle 518: Executing 0x0000 at PC=0x1F6
Cycle 519: Executing 0x0000 at PC=0x1F8
Cycle 520: Executing 0x0000 at PC=0x1FA
Cycle 521: Executing 0x0000 at PC=0x1FC
Cycle 522: Executing 0x0000 at PC=0x1FE
Cycle 529: Executing 0x0000 at PC=0x1D2
Cycle 530: Executing 0x0000 at PC=0x1D4
Cycle 531: Executing 0x0000 at PC=0x1D6
Cycle 532: Executing 0x0000 at PC=0x1D8
Cycle 533: Executing 0x0000 at PC=0x1DA
Cycle 534: Executing 0x0000 at PC=0x1DC
Cycle 535: Executing 0x0000 at PC=0x1DE
Cycle 536: Executing 0x0000 at PC=0x1E0
Cycle 537: Executing 0x0000 at PC=0x1E2
Cycle 538: Executing 0x0000 at PC=0x1E4
Cycle 539: Executing 0x0000 at PC=0x1E6
Cycle 540: Executing 0x0000 at PC=0x1E8
Cycle 541: Executing 0x0000 at PC=0x1EA
Cycle 542: Executing 0x0000 at PC=0x1EC
Cycle 543: Executing 0x0000 at PC=0x1EE
Cycle 544: Executing 0x0000 at PC=0x1F0
Cycle 545: Executing 0x0000 at PC=0x1F2
Cycle 546: Executing 0x0000 at PC=0x1F4
Cycle 547: Executing 0x0000 at PC=0x1F6
Cycle 548: Executing 0x0000 at PC=0x1F8
Cycle 549: Executing 0x0000 at PC=0x1FA
Cycle 550: Executing 0x0000 at PC=0x1FC
Cycle 551: Executing 0x0000 at PC=0x1FE
Cycle 558: Executing 0x0000 at PC=0x1D2
Cycle 559: Executing 0x0000 at PC=0x1D4
Cycle 560: Executing 0x0000 at PC=0x1D6
Cycle 561: Executing 0x0000 at PC=0x1D8
Cycle 562: Executing 0x0000 at PC=0x1DA
Cycle 563: Executing 0x0000 at PC=0x1DC
Cycle 564: Executing 0x0000 at PC=0x1DE
Cycle 565: Executing 0x0000 at PC=0x1E0
Cycle 566: Executing 0x0000 at PC=0x1E2
Cycle 567: Executing 0x0000 at PC=0x1E4
Cycle 568: Executing 0x0000 at PC=0x1E6
Cycle 569: Executing 0x0000 at PC=0x1E8
Cycle 570: Executing 0x0000 at PC=0x1EA
Cycle 571: Executing 0x0000 at PC=0x1EC
Cycle 572: Executing 0x0000 at PC=0x1EE
Cycle 573: Executing 0x0000 at PC=0x1F0
Cycle 574: Executing 0x0000 at PC=0x1F2
Cycle 575: Executing 0x0000 at PC=0x1F4
Cycle 576: Executing 0x0000 at PC=0x1F6
Cycle 577: Executing 0x0000 at PC=0x1F8
Cycle 578: Executing 0x0000 at PC=0x1FA
Cycle 579: Executing 0x0000 at PC=0x1FC
Cycle 580: Executing 0x0000 at PC=0x1FE
Cycle 587: Executing 0x0000 at PC=0x1D2
Cycle 588: Executing 0x0000 at PC=0x1D4
Cycle 589: Executing 0x0000 at PC=0x1D6
Cycle 590: Executing 0x0000 at PC=0x1D8
Cycle 591: Executing 0x0000 at PC=0x1DA
Cycle 592: Executing 0x0000 at PC=0x1DC
Cycle 593: Executing 0x0000 at PC=0x1DE
Cycle 594: Executing 0x0000 at PC=0x1E0
Cycle 595: Executing 0x0000 at PC=0x1E2
Cycle 596: Executing 0x0000 at PC=0x1E4
Cycle 597: Executing 0x0000 at PC=0x1E6
Cycle 598: Executing 0x0000 at PC=0x1E8
Cycle 599: Executing 0x0000 at PC=0x1EA
Cycle 600: Executing 0x0000 at PC=0x1EC
Cycle 601: Executing 0x0000 at PC=0x1EE
Cycle 602: Executing 0x0000 at PC=0x1F0
Cycle 603: Executing 0x0000 at PC=0x1F2
Cycle 604: Executing 0x0000 at PC=0x1F4
Cycle 605: Executing 0x0000 at PC=0x1F6
Cycle 606: Executing 0x0000 at PC=0x1F8
Cycle 607: Executing 0x0000 at PC=0x1FA
Cycle 608: Executing 0x0000 at PC=0x1FC
Cycle 609: Executing 0x0000 at PC=0x1FE
Cycle 616: Executing 0x0000 at PC=0x1D2
Cycle 617: Executing 0x0000 at PC=0x1D4
Cycle 618: Executing 0x0000 at PC=0x1D6
Cycle 619: Executing 0x0000 at PC=0x1D8
Cycle 620: Executing 0x0000 at PC=0x1DA
Cycle 621: Executing 0x0000 at PC=0x1DC
Cycle 622: Executing 0x0000 at PC=0x1DE
Cycle 623: Executing 0x0000 at PC=0x1E0
Cycle 624: Executing 0x0000 at PC=0x1E2
Cycle 625: Executing 0x0000 at PC=0x1E4
