Setup sorting test array at 0x300: [42  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
Loaded ROM: 3584 bytes
First instruction: 0x4C08
Cycle 187: Executing 0x0000 at PC=0x17F
Cycle 188: Executing 0x0000 at PC=0x181
Cycle 189: Executing 0x0000 at PC=0x183
Cycle 190: Executing 0x0000 at PC=0x185
Cycle 191: Executing 0x0000 at PC=0x187
Cycle 192: Executing 0x0000 at PC=0x189
Cycle 193: Executing 0x0000 at PC=0x18B
Cycle 194: Executing 0x0000 at PC=0x18D
Cycle 195: Executing 0x0000 at PC=0x18F
Cycle 196: Executing 0x0000 at PC=0x191
Cycle 197: Executing 0x0000 at PC=0x193
Cycle 198: Executing 0x0000 at PC=0x195
Cycle 199: Executing 0x0000 at PC=0x197
Cycle 200: Executing 0x0000 at PC=0x199
Cycle 201: Executing 0x0000 at PC=0x19B
Cycle 202: Executing 0x0000 at PC=0x19D
Cycle 203: Executing 0x0000 at PC=0x19F
Cycle 204: Executing 0x0000 at PC=0x1A1
Cycle 205: Executing 0x0000 at PC=0x1A3
Cycle 206: Executing 0x0000 at PC=0x1A5
Cycle 207: Executing 0x0000 at PC=0x1A7
Cycle 208: Executing 0x0000 at PC=0x1A9
Cycle 209: Executing 0x0000 at PC=0x1AB
Cycle 210: Executing 0x0000 at PC=0x1AD
Cycle 211: Executing 0x0000 at PC=0x1AF
Cycle 212: Executing 0x0000 at PC=0x1B1
Cycle 213: Executing 0x0000 at PC=0x1B3
Cycle 214: Executing 0x0000 at PC=0x1B5
Cycle 215: Executing 0x0000 at PC=0x1B7
Cycle 216: Executing 0x0000 at PC=0x1B9
Cycle 217: Executing 0x0000 at PC=0x1BB
Cycle 218: Executing 0x0000 at PC=0x1BD
Cycle 219: Executing 0x0000 at PC=0x1BF
Cycle 220: Executing 0x0000 at PC=0x1C1
Cycle 221: Executing 0x0000 at PC=0x1C3
Cycle 222: Executing 0x0000 at PC=0x1C5
Cycle 223: Executing 0x0000 at PC=0x1C7
Cycle 224: Executing 0x0000 at PC=0x1C9
Cycle 225: Executing 0x0000 at PC=0x1CB
Cycle 226: Executing 0x0000 at PC=0x1CD
Cycle 227: Executing 0x0000 at PC=0x1CF
Cycle 228: Executing 0x0000 at PC=0x1D1
Cycle 229: Executing 0x0000 at PC=0x1D3
Cycle 230: Executing 0x0000 at PC=0x1D5
Cycle 231: Executing 0x0000 at PC=0x1D7
Cycle 232: Executing 0x0000 at PC=0x1D9
Cycle 233: Executing 0x0000 at PC=0x1DB
Cycle 234: Executing 0x0000 at PC=0x1DD
Cycle 235: Executing 0x0000 at PC=0x1DF
Cycle 236: Executing 0x0000 at PC=0x1E1
Cycle 237: Executing 0x0000 at PC=0x1E3
Cycle 238: Executing 0x0000 at PC=0x1E5
Cycle 239: Executing 0x0000 at PC=0x1E7
Cycle 240: Executing 0x0000 at PC=0x1E9
Cycle 241: Executing 0x0000 at PC=0x1EB
Cycle 242: Executing 0x0000 at PC=0x1ED
Cycle 243: Executing 0x0000 at PC=0x1EF
Cycle 244: Executing 0x0000 at PC=0x1F1
Cycle 245: Executing 0x0000 at PC=0x1F3
Cycle 246: Executing 0x0000 at PC=0x1F5
Cycle 247: Executing 0x0000 at PC=0x1F7
Cycle 248: Executing 0x0000 at PC=0x1F9
Cycle 249: Executing 0x0000 at PC=0x1FB
Cycle 250: Executing 0x0000 at PC=0x1FD
Cycle 257: Executing 0x0000 at PC=0x150
Cycle 258: Executing 0x0000 at PC=0x152
Cycle 259: Executing 0x0000 at PC=0x154
Cycle 260: Executing 0x0000 at PC=0x156
Cycle 261: Executing 0x0000 at PC=0x158
Cycle 262: Executing 0x0000 at PC=0x15A
Cycle 263: Executing 0x0000 at PC=0x15C
Cycle 264: Executing 0x0000 at PC=0x15E
Cycle 265: Executing 0x0000 at PC=0x160
Cycle 266: Executing 0x0000 at PC=0x162
Cycle 267: Executing 0x0000 at PC=0x164
Cycle 268: Executing 0x0000 at PC=0x166
Cycle 269: Executing 0x0000 at PC=0x168
Cycle 270: Executing 0x0000 at PC=0x16A
Cycle 271: Executing 0x0000 at PC=0x16C
Cycle 272: Executing 0x0000 at PC=0x16E
Cycle 273: Executing 0x0000 at PC=0x170
Cycle 274: Executing 0x0000 at PC=0x172
Cycle 275: Executing 0x0000 at PC=0x174
Cycle 276: Executing 0x0000 at PC=0x176
Cycle 277: Executing 0x0000 at PC=0x178
Cycle 278: Executing 0x0000 at PC=0x17A
Cycle 279: Executing 0x0000 at PC=0x17C
Cycle 280: Executing 0x0000 at PC=0x17E
Cycle 281: Executing 0x0000 at PC=0x180
Cycle 282: Executing 0x0000 at PC=0x182
Cycle 283: Executing 0x0000 at PC=0x184
Cycle 284: Executing 0x0000 at PC=0x186
Cycle 285: Executing 0x0000 at PC=0x188
Cycle 286: Executing 0x0000 at PC=0x18A
Cycle 287: Executing 0x0000 at PC=0x18C
Cycle 288: Executing 0x0000 at PC=0x18E
Cycle 289: Executing 0x0000 at PC=0x190
Cycle 290: Executing 0x0000 at PC=0x192
Cycle 291: Executing 0x0000 at PC=0x194
Cycle 292: Executing 0x0000 at PC=0x196
Cycle 293: Executing 0x0000 at PC=0x198
Cycle 294: Executing 0x0000 at PC=0x19A
Cycle 295: Executing 0x0000 at PC=0x19C
Cycle 296: Executing 0x0000 at PC=0x19E
Cycle 297: Executing 0x0000 at PC=0x1A0
Cycle 298: Executing 0x0000 at PC=0x1A2
Cycle 299: Executing 0x0000 at PC=0x1A4
Cycle 300: Executing 0x0000 at PC=0x1A6
Cycle 301: Executing 0x0000 at PC=0x1A8
Cycle 302: Executing 0x0000 at PC=0x1AA
Cycle 303: Executing 0x0000 at PC=0x1AC
Cycle 304: Executing 0x0000 at PC=0x1AE
Cycle 305: Executing 0x0000 at PC=0x1B0
Cycle 306: Executing 0x0000 at PC=0x1B2
Cycle 307: Executing 0x0000 at PC=0x1B4
Cycle 308: Executing 0x0000 at PC=0x1B6
Cycle 309: Executing 0x0000 at PC=0x1B8
Cycle 310: Executing 0x0000 at PC=0x1BA
Cycle 311: Executing 0x0000 at PC=0x1BC
Cycle 312: Executing 0x0000 at PC=0x1BE
Cycle 313: Executing 0x0000 at PC=0x1C0
Cycle 314: Executing 0x0000 at PC=0x1C2
Cycle 315: Executing 0x0000 at PC=0x1C4
Cycle 316: Executing 0x0000 at PC=0x1C6
Cycle 317: Executing 0x0000 at PC=0x1C8
Cycle 318: Executing 0x0000 at PC=0x1CA
Cycle 319: Executing 0x0000 at PC=0x1CC
Cycle 320: Executing 0x0000 at PC=0x1CE
Cycle 321: Executing 0x0000 at PC=0x1D0
Cycle 322: Executing 0x0000 at PC=0x1D2
Cycle 323: Executing 0x0000 at PC=0x1D4
Cycle 324: Executing 0x0000 at PC=0x1D6
Cycle 325: Executing 0x0000 at PC=0x1D8
Cycle 326: Executing 0x0000 at PC=0x1DA
