Setup sorting test array at 0x300: [ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
Loaded ROM: 3584 bytes
First instruction: 0xD2B1
Cycle 172: Executing 0x0000 at PC=0x1F3
Cycle 173: Executing 0x0000 at PC=0x1F5
Cycle 174: Executing 0x0000 at PC=0x1F7
Cycle 175: Executing 0x0000 at PC=0x1F9
Cycle 176: Executing 0x0000 at PC=0x1FB
Cycle 177: Executing 0x0000 at PC=0x1FD
Cycle 180: Executing 0x0000 at PC=0x1AF
Cycle 181: Executing 0x0000 at PC=0x1B1
Cycle 182: Executing 0x0000 at PC=0x1B3
Cycle 183: Executing 0x0000 at PC=0x1B5
Cycle 184: Executing 0x0000 at PC=0x1B7
Cycle 185: Executing 0x0000 at PC=0x1B9
Cycle 186: Executing 0x0000 at PC=0x1BB
Cycle 187: Executing 0x0000 at PC=0x1BD
Cycle 188: Executing 0x0000 at PC=0x1BF
Cycle 189: Executing 0x0000 at PC=0x1C1
Cycle 190: Executing 0x0000 at PC=0x1C3
Cycle 191: Executing 0x0000 at PC=0x1C5
Cycle 192: Executing 0x0000 at PC=0x1C7
Cycle 193: Executing 0x0000 at PC=0x1C9
Cycle 194: Executing 0x0000 at PC=0x1CB
Cycle 195: Executing 0x0000 at PC=0x1CD
Cycle 196: Executing 0x0000 at PC=0x1CF
Cycle 197: Executing 0x0000 at PC=0x1D1
Cycle 198: Executing 0x0000 at PC=0x1D3
Cycle 199: Executing 0x0000 at PC=0x1D5
Cycle 200: Executing 0x0000 at PC=0x1D7
Cycle 201: Executing 0x0000 at PC=0x1D9
Cycle 202: Executing 0x0000 at PC=0x1DB
Cycle 203: Executing 0x0000 at PC=0x1DD
Cycle 204: Executing 0x0000 at PC=0x1DF
Cycle 205: Executing 0x0000 at PC=0x1E1
Cycle 206: Executing 0x0000 at PC=0x1E3
Cycle 207: Executing 0x0000 at PC=0x1E5
Cycle 208: Executing 0x0000 at PC=0x1E7
Cycle 209: Executing 0x0000 at PC=0x1E9
Cycle 210: Executing 0x0000 at PC=0x1EB
Cycle 211: Executing 0x0000 at PC=0x1ED
Cycle 212: Executing 0x0000 at PC=0x1EF
Cycle 213: Executing 0x0000 at PC=0x1F1
Cycle 214: Executing 0x0000 at PC=0x1F3
Cycle 215: Executing 0x0000 at PC=0x1F5
Cycle 216: Executing 0x0000 at PC=0x1F7
Cycle 217: Executing 0x0000 at PC=0x1F9
Cycle 218: Executing 0x0000 at PC=0x1FB
Cycle 219: Executing 0x0000 at PC=0x1FD
Cycle 222: Executing 0x0000 at PC=0x1AF
Cycle 223: Executing 0x0000 at PC=0x1B1
Cycle 224: Executing 0x0000 at PC=0x1B3
Cycle 225: Executing 0x0000 at PC=0x1B5
Cycle 226: Executing 0x0000 at PC=0x1B7
Cycle 227: Executing 0x0000 at PC=0x1B9
Cycle 228: Executing 0x0000 at PC=0x1BB
Cycle 229: Executing 0x0000 at PC=0x1BD
Cycle 230: Executing 0x0000 at PC=0x1BF
Cycle 231: Executing 0x0000 at PC=0x1C1
Cycle 232: Executing 0x0000 at PC=0x1C3
Cycle 233: Executing 0x0000 at PC=0x1C5
Cycle 234: Executing 0x0000 at PC=0x1C7
Cycle 235: Executing 0x0000 at PC=0x1C9
Cycle 236: Executing 0x0000 at PC=0x1CB
Cycle 237: Executing 0x0000 at PC=0x1CD
Cycle 238: Executing 0x0000 at PC=0x1CF
Cycle 239: Executing 0x0000 at PC=0x1D1
Cycle 240: Executing 0x0000 at PC=0x1D3
Cycle 241: Executing 0x0000 at PC=0x1D5
Cycle 242: Executing 0x0000 at PC=0x1D7
Cycle 243: Executing 0x0000 at PC=0x1D9
Cycle 244: Executing 0x0000 at PC=0x1DB
Cycle 245: Executing 0x0000 at PC=0x1DD
Cycle 246: Executing 0x0000 at PC=0x1DF
Cycle 247: Executing 0x0000 at PC=0x1E1
Cycle 248: Executing 0x0000 at PC=0x1E3
Cycle 249: Executing 0x0000 at PC=0x1E5
Cycle 250: Executing 0x0000 at PC=0x1E7
Cycle 251: Executing 0x0000 at PC=0x1E9
Cycle 252: Executing 0x0000 at PC=0x1EB
Cycle 253: Executing 0x0000 at PC=0x1ED
Cycle 254: Executing 0x0000 at PC=0x1EF
Cycle 255: Executing 0x0000 at PC=0x1F1
Cycle 256: Executing 0x0000 at PC=0x1F3
Cycle 257: Executing 0x0000 at PC=0x1F5
Cycle 258: Executing 0x0000 at PC=0x1F7
Cycle 259: Executing 0x0000 at PC=0x1F9
Cycle 260: Executing 0x0000 at PC=0x1FB
Cycle 261: Executing 0x0000 at PC=0x1FD
Cycle 264: Executing 0x0000 at PC=0x1AF
Cycle 265: Executing 0x0000 at PC=0x1B1
Cycle 266: Executing 0x0000 at PC=0x1B3
Cycle 267: Executing 0x0000 at PC=0x1B5
Cycle 268: Executing 0x0000 at PC=0x1B7
Cycle 269: Executing 0x0000 at PC=0x1B9
Cycle 270: Executing 0x0000 at PC=0x1BB
Cycle 271: Executing 0x0000 at PC=0x1BD
Cycle 272: Executing 0x0000 at PC=0x1BF
Cycle 273: Executing 0x0000 at PC=0x1C1
Cycle 274: Executing 0x0000 at PC=0x1C3
Cycle 275: Executing 0x0000 at PC=0x1C5
Cycle 276: Executing 0x0000 at PC=0x1C7
Cycle 277: Executing 0x0000 at PC=0x1C9
Cycle 278: Executing 0x0000 at PC=0x1CB
Cycle 279: Executing 0x0000 at PC=0x1CD
Cycle 280: Executing 0x0000 at PC=0x1CF
Cycle 281: Executing 0x0000 at PC=0x1D1
Cycle 282: Executing 0x0000 at PC=0x1D3
Cycle 283: Executing 0x0000 at PC=0x1D5
Cycle 284: Executing 0x0000 at PC=0x1D7
Cycle 285: Executing 0x0000 at PC=0x1D9
Cycle 286: Executing 0x0000 at PC=0x1DB
Cycle 287: Executing 0x0000 at PC=0x1DD
Cycle 288: Executing 0x0000 at PC=0x1DF
Cycle 289: Executing 0x0000 at PC=0x1E1
Cycle 290: Executing 0x0000 at PC=0x1E3
Cycle 291: Executing 0x0000 at PC=0x1E5
Cycle 292: Executing 0x0000 at PC=0x1E7
Cycle 293: Executing 0x0000 at PC=0x1E9
Cycle 294: Executing 0x0000 at PC=0x1EB
Cycle 295: Executing 0x0000 at PC=0x1ED
Cycle 296: Executing 0x0000 at PC=0x1EF
Cycle 297: Executing 0x0000 at PC=0x1F1
Cycle 298: Executing 0x0000 at PC=0x1F3
Cycle 299: Executing 0x0000 at PC=0x1F5
Cycle 300: Executing 0x0000 at PC=0x1F7
Cycle 301: Executing 0x0000 at PC=0x1F9
Cycle 302: Executing 0x0000 at PC=0x1FB
Cycle 303: Executing 0x0000 at PC=0x1FD
Cycle 306: Executing 0x0000 at PC=0x1AF
Cycle 307: Executing 0x0000 at PC=0x1B1
Cycle 308: Executing 0x0000 at PC=0x1B3
Cycle 309: Executing 0x0000 at PC=0x1B5
Cycle 310: Executing 0x0000 at PC=0x1B7
Cycle 311: Executing 0x0000 at PC=0x1B9
Cycle 312: Executing 0x0000 at PC=0x1BB
Cycle 313: Executing 0x0000 at PC=0x1BD
Cycle 314: Executing 0x0000 at PC=0x1BF
Cycle 315: Executing 0x0000 at PC=0x1C1
Cycle 316: Executing 0x0000 at PC=0x1C3
Cycle 317: Executing 0x0000 at PC=0x1C5
Cycle 318: Executing 0x0000 at PC=0x1C7
Cycle 319: Executing 0x0000 at PC=0x1C9
Cycle 320: Executing 0x0000 at PC=0x1CB
Cycle 321: Executing 0x0000 at PC=0x1CD
Cycle 322: Executing 0x0000 at PC=0x1CF
Cycle 323: Executing 0x0000 at PC=0x1D1
Cycle 324: Executing 0x0000 at PC=0x1D3
Cycle 325: Executing 0x0000 at PC=0x1D5
Cycle 326: Executing 0x0000 at PC=0x1D7
Cycle 327: Executing 0x0000 at PC=0x1D9
Cycle 328: Executing 0x0000 at PC=0x1DB
Cycle 329: Executing 0x0000 at PC=0x1DD
Cycle 330: Executing 0x0000 at PC=0x1DF
Cycle 331: Executing 0x0000 at PC=0x1E1
Cycle 332: Executing 0x0000 at PC=0x1E3
Cycle 333: Executing 0x0000 at PC=0x1E5
Cycle 334: Executing 0x0000 at PC=0x1E7
Cycle 335: Executing 0x0000 at PC=0x1E9
Cycle 336: Executing 0x0000 at PC=0x1EB
Cycle 337: Executing 0x0000 at PC=0x1ED
Cycle 338: Executing 0x0000 at PC=0x1EF
Cycle 339: Executing 0x0000 at PC=0x1F1
Cycle 340: Executing 0x0000 at PC=0x1F3
Cycle 341: Executing 0x0000 at PC=0x1F5
Cycle 342: Executing 0x0000 at PC=0x1F7
Cycle 343: Executing 0x0000 at PC=0x1F9
Cycle 344: Executing 0x0000 at PC=0x1FB
Cycle 345: Executing 0x0000 at PC=0x1FD
Cycle 348: Executing 0x0000 at PC=0x1AF
Cycle 349: Executing 0x0000 at PC=0x1B1
Cycle 350: Executing 0x0000 at PC=0x1B3
Cycle 351: Executing 0x0000 at PC=0x1B5
Cycle 352: Executing 0x0000 at PC=0x1B7
Cycle 353: Executing 0x0000 at PC=0x1B9
Cycle 354: Executing 0x0000 at PC=0x1BB
Cycle 355: Executing 0x0000 at PC=0x1BD
Cycle 356: Executing 0x0000 at PC=0x1BF
Cycle 357: Executing 0x0000 at PC=0x1C1
Cycle 358: Executing 0x0000 at PC=0x1C3
Cycle 359: Executing 0x0000 at PC=0x1C5
Cycle 360: Executing 0x0000 at PC=0x1C7
Cycle 361: Executing 0x0000 at PC=0x1C9
Cycle 362: Executing 0x0000 at PC=0x1CB
Cycle 363: Executing 0x0000 at PC=0x1CD
Cycle 364: Executing 0x0000 at PC=0x1CF
Cycle 365: Executing 0x0000 at PC=0x1D1
Cycle 366: Executing 0x0000 at PC=0x1D3
